level_0,index,English,Indonesian
2140,2140,where did you try them ?,di mana kamu mencobanya ?
2142,2142,where is the newspaper ?,korannya mana ?
2154,2154,you are my best friend .,kau adalah sahabat karibku .
2169,2169,you re perfectly right .,kau memang benar .
2170,2170,you re very courageous .,kamu berani sekali .
2173,2173,are you attracted to me ?,apa kau tertarik padaku ?
2174,2174,are you sure about that ?,apa kau yakin dengan hal itu ?
2175,2175,are you sure about this ?,apa kau yakin dengan hal ini ?
2191,2191,do you feel like eating ?,apa kau mau makan ?
2192,2192,do you really mean that ?,apa kau serius mengatakannya ?
2193,2193,do you still read books ?,apa kau masih membaca buku buku ?
2194,2194,do you want some coffee ?,ingin minum kopi ?
2195,2195,do you want to use mine ?,apa kamu mau pinjam punyaku ?
2196,2196,don t go out after dark .,jangan pergi keluar setelah hari menjadi gelap .
2197,2197,don t make a fool of me .,jangan mempermainkanku .
2198,2198,don t play in this room .,jangan bermain di kamar ini .
2199,2199,don t read in this room .,jangan membaca di kamar ini .
2213,2213,he s my younger brother .,dia adikku .
2214,2214,he s my younger brother .,dia adik laki lakiku .
2223,2223,i am disgusted with you .,aku sudah muak denganmu .
2224,2224,i am not good at sports .,aku tidak jago dalam hal olahraga .
2276,2276,i m glad you enjoyed it .,saya senang anda menikmatinya .
2277,2277,i m pleased to meet you .,senang bertemu denganmu .
2278,2278,i m so glad you re back .,aku sangat senang kau kembali .
2279,2279,i m sorry to be so late .,maaf aku sudah terlambat cukup lama .
2280,2280,i m still the boss here .,aku masih bosnya di sini .
2288,2288,it s entirely up to you .,itu sepenuhnya terserah padamu .
2289,2289,it s going to rain soon .,sebentar lagi hujan akan turun .
2290,2290,it s very noisy in here .,di sini sangat berisik .
2318,2318,she is very intelligent .,dia sangat pintar .
2320,2320,she s not young is she ?,dia tidak muda ya .
2342,2342,they re all watching tv .,mereka semua menonton tv .
2361,2361,tom is a friend of mine .,tom adalah seorang kawanku .
2362,2362,tom is a friend of mine .,tom adalah seorang temanku .
2363,2363,tom is in constant pain .,tom merasakan sakit yang tidak ada henti hentinya .
2368,2368,tom said he s no expert .,tom berkata dia bukan ahlinya .
2369,2369,tom says the same thing .,tom mengatakan hal yang sama .
2370,2370,tom says this is absurd .,tom berkata ini tidak masuk akal .
2371,2371,tom says this is normal .,tom berkata ini normal .
2372,2372,tom seemed uninterested .,tom terlihat tidak tertarik .
2373,2373,tom signed the document .,tom menandatangani dokumennya .
2374,2374,tom sleeps all the time .,tom tidur sepanjang waktu .
2375,2375,tom still has some time .,tom masih ada waktu .
2376,2376,tom still loves his job .,tom masih menyukai pekerjaannya .
2377,2377,tom still loves it here .,tom masih betah disini .
2383,2383,tom was late for dinner .,tom terlambat untuk makan malam .
2384,2384,tom was shocked by this .,tom syok karena ini .
2385,2385,tom was shot and killed .,tom tertembak dan terbunuh .
2386,2386,tom was shot and killed .,tom ditembak dan dibunuh .
2387,2387,tom was shot and killed .,tom ditembak dan terbunuh .
2388,2388,tom wasn t a bit sleepy .,tom tidak sedang mengantuk .
2395,2395,we are having a meeting .,kami sedang rapat .
2411,2411,we re worried about you .,kami mengkhawatirkanmu .
2415,2415,what are you doing here ?,apa yang sedang kamu lakukan di sini ?
2416,2416,what are you looking at ?,apa yang sedang kamu lihat ?
2425,2425,what should we focus on ?,kita harus fokus pada apa ?
2426,2426,what should we focus on ?,kami harus fokus pada apa ?
2427,2427,what sports do you like ?,olahraga apa yang kau sukai ?
2432,2432,what s happening to you ?,kamu kenapa ?
2433,2433,what s your destination ?,tujuanmu ke mana ?
2459,2459,you are a good customer .,anda seorang pelanggan yang baik .
2474,2474,you re absolutely right .,kau memang benar .
2475,2475,you re completely right .,kau memang benar .
2476,2476,you re taller than i am .,kau lebih tinggi ketimbang aku .
2485,2485,are you buying into this ?,apa kau percaya akan hal ini ?
2486,2486,are you expecting anyone ?,apakah kamu sedang menunggu seseorang ?
2487,2487,are you fond of swimming ?,apakah kamu sangat menyukai berenang ?
2488,2488,are you off duty tonight ?,apa kau tidak bertugas malam ini ?
2489,2489,are you on the committee ?,apakah anda anggota dari komite ?
2494,2494,do you have a light beer ?,apa kalian punya bir ringan ?
2495,2495,do you have enough money ?,apakah kamu punya uang cukup ?
2496,2496,do you know who they are ?,tahukah anda siapa mereka itu ?
2497,2497,do you like french wines ?,apa kau suka minuman anggur prancis ?
2498,2498,do you mean what you say ?,apa kau serius dengan apa yang kau katakan ?
2499,2499,do you plan to go abroad ?,apa kamu berencana pergi ke luar negeri ?
2500,2500,do you think i m kidding ?,apa kamu pikir aku bercanda ?
2501,2501,do you want to try it on ?,anda mau mencobanya ?
2503,2503,don t be late for school .,jangan terlambat datang ke sekolah .
2504,2504,don t make fun of people .,jangan mempermainkan orang lain .
2505,2505,don t pick up that phone .,jangan angkat telepon itu .
2506,2506,don t scare me like that !,jangan menakut nakutiku seperti itu !
2507,2507,don t smoke in this room .,jangan merokok di ruangan ini .
2508,2508,don t you ever come back .,jangan pernah kau kembali .
2509,2509,don t you have a bicycle ?,apakah kamu punya sepeda ?
2510,2510,don t you have a bicycle ?,apakah anda punya sepeda ?
2511,2511,don t you have a bicycle ?,bukannya kamu punya sepeda ?
2512,2512,don t you have a bicycle ?,bukannya anda punya sepeda ?
2527,2527,he is certain to succeed .,dia pasti berhasil .
2528,2528,he is not coming either .,dia juga tidak datang .
2529,2529,he is painting a picture .,dia sedang melukis sebuah gambar .
2539,2539,i am pleased to meet you .,senang bertemu denganmu .
2540,2540,i am pleased with myself .,aku merasa senang dengan diriku sendiri .
2599,2599,i m tom and this is mary .,saya tom dan ini mary .
2600,2600,i m getting sick of this .,aku mulai muak dengan hal ini .
2601,2601,i m going to go clean up .,aku mau bersih bersih .
2602,2602,i m going to go with you .,aku akan pergi denganmu .
2603,2603,i m in trouble aren t i ?,aku dalam masalah ya ?
2604,2604,i m not afraid of ghosts .,aku tidak takut dengan hantu .
2605,2605,i m not convinced at all .,aku tidak terbujuk sama sekali .
2606,2606,i m so happy you re back .,aku senang sekali kamu kembali .
2607,2607,i m sorry i let you down .,aku minta maaf sudah mengecewakanmu .
2608,2608,i m working in tokyo now .,aku bekerja di tokyo sekarang .
2617,2617,it s a beautiful country .,ini adalah negara yang sangat indah .
2618,2618,it s not about the money .,ini bukan soal uang .
2619,2619,it s not good to overeat .,terlalu banyak makan itu tidak baik .
2649,2649,she s wearing sunglasses .,ia mengenakan kacamata hitam .
2680,2680,tom is a college student .,tom adalah seorang mahasiswa .
2681,2681,tom is a convicted felon .,tom adalah penjahat terhukum .
2682,2682,tom is acting on his own .,tom bertindak atas kemauannya sendiri .
2683,2683,tom is one of my friends .,tom adalah salah satu dari temanku .
2684,2684,tom is probably sleeping .,tom mungkin sedang tidur .
2685,2685,tom is trying not to cry .,tom mencoba untuk tidak menangis .
2686,2686,tom isn t afraid to fail .,tom tidak takut gagal .
2698,2698,tom says he s busy today .,tom berkata dia sibuk hari ini .
2699,2699,tom seemed kind of upset .,tom terlihat seperti sedang sedih .
2700,2700,tom stared at the ground .,tom melihat ke arah tanah .
2706,2706,tom was anxious to leave .,tom cemas untuk pergi .
2707,2707,tom was looking for help .,tom sedang mencari pertolongan .
2708,2708,tom was murdered by mary .,tom dibunuh mary .
2712,2712,we are worried about you .,kami mengkhawatirkanmu .
2724,2724,what are you going to do ?,apa yang akan kau lakukan ?
2725,2725,what are you laughing at ?,kau menertawakan apa ?
2726,2726,what are you looking for ?,apa yang sedang kamu cari ?
2727,2727,what are you snacking on ?,kamu lagi ngemil apa ?
2728,2728,what are you up to today ?,apa yang ingin kamu lakukan hari ini ?
2729,2729,what are your intentions ?,apa tujuanmu ?
2757,2757,you are absolutely right .,kau memang benar .
2776,2776,are you going to shoot me ?,apa kau akan menembakku ?
2777,2777,are you having a busy day ?,apa harimu sibuk ?
2778,2778,are you telling the truth ?,apa kau mengatakan yang sebenarnya ?
2788,2788,do you have any allergies ?,apa anda punya alergi ?
2789,2789,do you have any questions ?,apakah ada pertanyaan ?
2790,2790,do you know what happened ?,apa kau tahu apa yang sedang terjadi ?
2791,2791,do you like peanut butter ?,kamu suka selai kacang ?
2792,2792,do you understand me tom ?,apakah kamu memahami maksudku tom ?
2793,2793,do you want to come along ?,apa kamu mau ikut ?
2794,2794,do you work out regularly ?,apakah kamu berolahraga secara rutin ?
2797,2797,don t look at me that way .,jangan melihatku seperti itu !
2798,2798,don t trust what tom says .,jangan percaya pada apa yang tom katakan .
2826,2826,he s sleeping like a baby .,dia tidur seperti bayi .
2827,2827,he s standing on his head .,dia berdiri di atas kepalanya .
2837,2837,i am going to play tennis .,saya akan bermain tenis .
2838,2838,i am living the good life .,aku menjalani hidup yang baik .
2890,2890,i m delighted to meet you .,senang bertemu denganmu .
2891,2891,i m glad i could help out .,saya senang bisa membantu .
2892,2892,i m going to be out today .,aku akan bepergian hari ini .
2893,2893,i m going to the restroom .,saya akan pergi ke toilet sebentar .
2894,2894,i m looking forward to it .,aku menantikannya .
2895,2895,i m not always so lenient .,aku tidak selalu bersikap toleran .
2896,2896,i m not really that sorry .,aku tidak begitu menyesal .
2897,2897,i m not what i used to be .,aku tidak sama seperti dulu .
2898,2898,i m telling you the truth .,aku mengatakan padamu yang sebenarnya .
2911,2911,it seems overpriced to me .,sepertinya itu terlalu mahal bagiku .
2912,2912,it s ok to be scared tom .,tak apa untuk takut tom .
2913,2913,it s ok to be scared tom .,tidak masalah merasa takut tom .
2914,2914,it s tom s birthday today .,hari ini ulang tahun tom .
2915,2915,it s time to go to school .,waktunya pergi ke sekolah .
2940,2940,she s got the best grades .,dia mendapatkan nilai terbaik .
2941,2941,she s pregnant with twins .,kandungannya kembar .
2977,2977,tom is mary s best friend .,tom adalah teman baik mary .
2978,2978,tom is a lot better today .,tom jauh lebih baik hari ini .
2979,2979,tom is careless isn t he ?,tom itu masa bodoh kan ?
2980,2980,tom is finishing his work .,tom sedang menyelesaikan pekerjaannya .
2981,2981,tom is growing a mustache .,tom menumbuhkan kumis .
2982,2982,tom is here to protect me .,tom di sini untuk melindungiku .
2983,2983,tom is mentally disturbed .,tom terganggu secara mental .
2984,2984,tom is not in his bedroom .,tom tidak sedang berada di kamarnya .
2985,2985,tom is sitting on a chair .,tom sedang duduk diatas sebuah kursi .
2986,2986,tom isn t afraid of death .,tom tidak takut mati .
2987,2987,tom isn t as rich as mary .,tom tidak sekaya mary .
2988,2988,tom isn t very photogenic .,tom tidak terlalu cocok untuk difoto .
2989,2989,tom isn t watching tv now .,tom tidak sedang menonton tv sekarang .
3002,3002,tom was in seventh heaven .,tom sudah ada di langit ketujuh
3003,3003,tom was working part time .,tom bekerja paruh waktu .
3008,3008,we are having a good time .,kami bersenang senang .
3017,3017,we re all so proud of you .,kami semua sangat bangga padamu .
3018,3018,we re going to be rescued .,kita akan diselamatkan .
3031,3031,what symptoms do you have ?,gejala gejala apa saja yang anda alami ?
3038,3038,what s that on your shirt ?,apa yang ada di bajumu itu ?
3039,3039,what s your friend s name ?,nama temanmu siapa ?
3049,3049,where did you get the hat ?,dari mana kamu dapat topi itu ?
3051,3051,where is the bus terminal ?,di mana terminal busnya ?
3052,3052,where is the nearest bank ?,di mana bank terdekat ?
3053,3053,where s the train station ?,stasiun kereta ada di mana ?
3054,3054,where s the train station ?,ada di mana stasiun kereta apinya ?
3055,3055,where s the train station ?,stasiun kereta apinya di mana ?
3066,3066,you are selling him short .,kau meremehkan dia .
3067,3067,you are tired aren t you ?,kamu lelah ya ?
3080,3080,you re not yourself today .,kamu tidak seperti dirimu hari ini .
3081,3081,you re too drunk to drive .,kau terlalu mabuk untuk mengemudi .
3089,3089,are you a japanese student ?,apakah kamu siswa dari jepang ?
3090,3090,are you certain about that ?,apa kau yakin dengan hal itu ?
3091,3091,are you certain about this ?,apa kau yakin dengan hal ini ?
3092,3092,are you sure that s enough ?,kamu yakin itu cukup ?
3109,3109,do you belong to any clubs ?,apa kamu mengikuti sebuah klub ?
3110,3110,do you go to school by bus ?,apa kau pergi ke sekolah dengan bus ?
3111,3111,do you have life insurance ?,apakah anda memiliki asuransi jiwa ?
3112,3112,do you know the difference ?,apakah anda tahu perbedaannya ?
3113,3113,do you think that s enough ?,apa kamu pikir itu cukup ?
3114,3114,don t beat around the bush .,jangan bicara berputar putar .
3115,3115,don t worry about the past .,jangan mengkhawatirkan tentang masa lalu .
3116,3116,don t you think it s risky ?,apakah anda tidak berfikir ini beresiko ?
3130,3130,he s always late for class .,dia selalu telat ke kelas .
3131,3131,he s always short of money .,dia selalu kekurangan uang .
3139,3139,i am tired of hearing that .,saya bosan mendengar hal itu .
3187,3187,i m listening to the radio .,saya sedang mendengarkan radio .
3188,3188,i m living with my parents .,aku tinggal bersama orangtua .
3189,3189,i m off to help my friends .,aku pergi membantu teman temanku .
3198,3198,it s a confidential matter .,ini perihal yang rahasia .
3199,3199,it s all happening so fast .,semuanya terjadi begitu cepat .
3200,3200,it s more than you deserve .,itu lebih dari yang kamu minta .
3201,3201,it s none of your business .,ini bukan urusanmu .
3202,3202,it s very cold in my house .,di rumahku sangat dingin .
3226,3226,she is playing with a doll .,dia bermain dengan boneka .
3263,3263,tom is a self educated man .,tom adalah seorang otodidak .
3264,3264,tom is bleeding internally .,tom mengalami pendarahan dalam .
3265,3265,tom is impatient isn t he ?,tom tidak sabaran ya ?
3266,3266,tom is itching for a fight .,tom sudah tidak tahan ingin berkelahi .
3267,3267,tom is three years old now .,tom saat ini berusia tiga tahun .
3268,3268,tom is trying not to laugh .,tom sedang berusaha untuk tidak tertawa
3276,3276,tom seemed to be surprised .,tom terlihat terkejut .
3277,3277,tom shot mary with a rifle .,tom menembak mary dengan senapan .
3278,3278,tom speaks relatively fast .,tom bicaranya relatif cepat .
3280,3280,tom was working last night .,tom bekerja semalam .
3283,3283,tom s hair has turned gray .,rambut tom sudah memutih .
3287,3287,we are about to leave here .,kami baru saja akan pergi meninggalkan tempat ini .
3299,3299,we re going to the theater .,kami akan pergi ke teater .
3302,3302,what a pity she can t come !,sayang sekali dia tidak bisa datang .
3303,3303,what are you going to play ?,apa yang akan kamu mainkan ?
3304,3304,what are you talking about ?,apa yang sedang kamu bicarakan ?
3307,3307,what s always on your mind ?,apa yang selalu membuatmu khawatir ?
3308,3308,what s in fashion in paris ?,apa yang sedang mengetren di paris ?
3309,3309,what s the matter with you ?,ada apa denganmu ?
3310,3310,what s your favorite sport ?,apa olahraga favoritmu ?
3311,3311,what s your marital status ?,apa status perkawinanmu ?
3315,3315,where did you get this key ?,di mana kamu mendapatkan kunci ini ?
3316,3316,where did you learn french ?,di mana anda belajar bahasa prancis ?
3318,3318,where is the train station ?,stasiun kereta ada di mana ?
3319,3319,where is the train station ?,ada di mana stasiun kereta apinya ?
3320,3320,where is the train station ?,stasiun kereta apinya di mana ?
3332,3332,you are always complaining .,kamu selalu saja mengeluh .
3333,3333,you are deceiving yourself .,kamu sedang menipu dirimu sendiri .
3357,3357,do you believe in evolution ?,apa kau percaya pada evolusi ?
3358,3358,do you ever think about tom ?,pernahkah kamu memikirkan tentang tom ?
3359,3359,do you have any soft drinks ?,apakah kamu punya minuman ringan ?
3360,3360,do you have time on tuesday ?,apakah anda ada waktu luang di hari selasa ?
3361,3361,do you know what time it is ?,apa kamu tahu jam berapa sekarang ?
3362,3362,do you need a place to stay ?,apakah anda butuh tempat tinggal ?
3363,3363,do you want anything to eat ?,apa kau mau makan ?
3364,3364,do you want anything to eat ?,apa kau ingin makan sesuatu ?
3365,3365,do you want it gift wrapped ?,apa anda ingin ini dibungkus ?
3366,3366,do you want to eat anything ?,apa kau ingin makan sesuatu ?
3367,3367,don t be noisy in this room .,jangan ribut di ruangan ini .
3368,3368,don t make me go back there .,jangan membuatku kembali ke sana .
3369,3369,don t walk alone after dark .,jangan berjalan seorang diri setelah hari menjadi gelap .
3398,3398,i am dying to see her again .,aku benar benar rindu untuk bertemu dengannya lagi .
3441,3441,i m always surprised by him .,dia selalu membuatku terkejut .
3442,3442,i m glad i was able to help .,saya senang bisa membantu .
3443,3443,i m just looking thank you .,tidak terima kasih saya hanya melihat lihat saja .
3444,3444,i m looking for another job .,saya sedang mencari pekerjaan yang lain .
3445,3445,i m not sure where to start .,aku tidak tahu mulai dari mana .
3446,3446,i m sorry to disappoint you .,aku minta maaf sudah mengecewakanmu .
3447,3447,i m taking a walk in a park .,aku berjalan jalan di taman .
3461,3461,it s an ecological disaster .,ini adalah sebuah bencana ekologis .
3462,3462,it s been snowing all night .,salju turun sepanjanng malam .
3463,3463,it s good that tom did that .,baguslah jika tom yang melakukannya .
3464,3464,it s only a ten minute walk .,hanya sepuluh menitan berjalan kaki .
3465,3465,it s six degrees below zero .,enam derajat dibawah nol .
3466,3466,it s very cold this evening .,sore ini sangat dingin .
3520,3520,tom is a university student .,tom adalah mahasiswa .
3521,3521,tom is obsessed with trains .,tom terobsesi dengan kereta api .
3522,3522,tom is peeling the potatoes .,tom sedang mengupasi kentang kentangnya .
3523,3523,tom is playing with his son .,tom bermain dengan anak laki lakinya .
3524,3524,tom is relocating to boston .,tom pindah ke boston .
3525,3525,tom is waiting for mary now .,tom sedang menunggu mary sekarang .
3526,3526,tom isn t going to hurt you .,tom tidak akan menyakitimu .
3538,3538,tom said that for the laugh .,tom mengatakannya sebagai hiburan .
3539,3539,tom says everyone does that .,tom mengatakan semua orang melakukannya .
3540,3540,tom seems a little confused .,tom sepertinya agak kebingungan .
3541,3541,tom seems to be sympathetic .,tom terlihat bersimpati .
3542,3542,tom shouldn t even be there .,tom bahkan tidak semestinya berada di sana .
3545,3545,tom was completely worn out .,tom benar benar kelelahan .
3559,3559,we re going to watch a play .,kami akan pergi melihat sebuah pementasan drama .
3562,3562,what are you all looking at ?,kamu sedang melihat apa ?
3563,3563,what are you going to drink ?,kamu mau minum apa ?
3564,3564,what are you going to drink ?,kau mau minum apa ?
3565,3565,what are you going to drink ?,mau minum apa ?
3566,3566,what are you going to drink ?,apa yang ingin kau minum ?
3567,3567,what are you thinking about ?,apa yang sedang kamu pikirkan ?
3571,3571,what is the matter with you ?,ada apa denganmu ?
3572,3572,what is your favorite sport ?,apa olahraga favoritmu ?
3573,3573,what is your favorite sport ?,apa olahraga favorit anda ?
3574,3574,what size shoes do you wear ?,berapa ukuran sepatu yang kamu kenakan ?
3575,3575,what sport do you like best ?,olahraga apa yang paling anda sukai ?
3583,3583,what s your favorite number ?,apa angka favoritmu ?
3586,3586,where did you buy that book ?,di mana kamu membeli buku itu ?
3612,3612,you re really a hard worker .,kau benar benar seorang pekerja keras .
3613,3613,you re thirty minutes early .,kamu lebih cepat tiga puluh menit .
3617,3617,are you angry at what i said ?,apakah kamu marah pada apa yang aku katakan ?
3618,3618,are you guys sure about this ?,apa kalian yakin dengan hal ini ?
3619,3619,are you meeting someone here ?,apakah kau akan menemui seseorang di sini ?
3620,3620,are you the person in charge ?,apakah kau adalah orang yang bertugas di sini ?
3624,3624,do you have feelings for tom ?,apakah kamu memiliki perasaan terhadap tom ?
3625,3625,do you have something to say ?,apa ada sesuatu yang ingin kau katakan ?
3626,3626,do you want some pumpkin pie ?,apa kamu mau beberapa potong kue pai ?
3627,3627,do you want something to eat ?,apa kau ingin makan sesuatu ?
3628,3628,do you want to eat something ?,apa kau ingin makan sesuatu ?
3629,3629,do you want to give it a try ?,anda mau mencobanya ?
3630,3630,don t expect too much of him .,jangan terlalu berharap padanya .
3631,3631,don t expect too much of him .,jangan berharap terlalu banyak padanya .
3632,3632,don t forget to pay the rent .,jangan lupa untuk membayar biaya sewanya .
3633,3633,don t make a scene in public .,jangan buat keributan di depan umum .
3634,3634,don t make noise . keep quiet .,jangan berisik . harap tenang .
3635,3635,don t underestimate my power .,jangan meremehkan kekuatanku .
3654,3654,he is allergic to house dust .,dia alergi pada debu rumah .
3655,3655,he is anxious to go with you .,dia ingin sekali pergi denganmu .
3656,3656,he is eager to become famous .,dia ingin menjadi terkenal .
3657,3657,he is known as a rock singer .,dia dikenal sebagai seorang penyanyi rok .
3658,3658,he is trying to quit smoking .,dia sedang berusaha untuk berhenti merokok .
3659,3659,he is indeed a hard worker .,dia memang seorang pekerja keras .
3663,3663,he s collecting various data .,dia mengumpulkan berbagai data .
3677,3677,i am going to tokyo tomorrow .,aku akan pergi ke tokyo besok .
3724,3724,i m going to wait until .,kutunggu sampai pukul .
3725,3725,i m going to wait until .,akan kutunggu sampai pukul .
3726,3726,i m no longer afraid of dogs .,aku tidak lagi takut anjing .
3727,3727,i m not asking for your help .,aku tidak meminta bantuanmu .
3728,3728,i m pretty good at first aid .,saya cukup ahli dalam pertolong pertama .
3729,3729,i m sorry i disappointed you .,aku minta maaf sudah mengecewakanmu .
3730,3730,i m sure you understand that .,aku yakin kau memahaminya .
3731,3731,i m writing a song in french .,aku menulis sebuah lagu dalam bahasa prancis .
3737,3737,it seemed like a dream to me .,ini terasa seperti mimpi bagiku .
3742,3742,it s tom who deserves credit .,tomlah yang pantas mendapatkan penghargaan .
3743,3743,it s a privilege to meet you .,sebuah kehormatan bisa bertemu anda .
3744,3744,it s already started to rain .,sudah mulai turun hujan .
3745,3745,it s clear that you re wrong .,kau jelas jelas sudah salah .
3746,3746,it s important to read books .,sangat penting untuk membaca buku .
3768,3768,she is eight months pregnant .,dia hamil delapan bulan .
3769,3769,she is singing with a guitar .,dia bernyanyi dengan gitar .
3793,3793,they re very cheerful people .,mereka merupakan orang orang yang ceria .
3802,3802,tom is a computer programmer .,tom adalah seorang pemrogram komputer .
3803,3803,tom is a high school student .,tom adalah seorang siswa sma .
3804,3804,tom is leaving in three days .,tom akan berangkat dalam tiga hari .
3805,3805,tom is mowing his front lawn .,tom sedang memotong rumput di halaman depannya .
3806,3806,tom is still in the hospital .,tom masih berada di rumah sakit .
3823,3823,tom saw his name on the list .,tom berkata dia melihat namanya pada daftar .
3824,3824,tom says i m a good listener .,tom berkata saya adalah pendengar yang baik .
3826,3826,tom was out with his friends .,tom sedang pergi bersama dengan temannya .
3833,3833,we re very lucky to be alive .,kita beruntung sudah hidup .
3834,3834,we re very lucky to be alive .,kami beruntung sudah hidup .
3847,3847,what s the fare to liverpool ?,berapa tarif untuk ke liverpool ?
3848,3848,what s your favorite subject ?,apa pelajaran favoritmu ?
3855,3855,where is the railway station ?,stasiun kereta ada di mana ?
3856,3856,where is the railway station ?,ada di mana stasiun kereta apinya ?
3857,3857,where is the railway station ?,stasiun kereta apinya di mana ?
3866,3866,you aren t busy now are you ?,kamu nggak sibuk kan sekarang ?
3874,3874,you re still mad aren t you ?,kamu masih marah ya ?
3890,3890,do you eat at home or eat out ?,apakah anda makan dirumah atau makan diluar ?
3891,3891,do you happen to have matches ?,apa kamu mempunyai korek ?
3892,3892,do you know where we re going ?,apa kamu tahu kemana kita akan pergi ?
3893,3893,do you live with your parents ?,apa kamu tinggal dengan orangtuamu ?
3894,3894,do you mind turning on the tv ?,bisa minta tolong nyalakan tv nya ?
3895,3895,do you want me to do anything ?,ada sesuatu yang kamu ingin aku lakukan ?
3896,3896,do you want me to go with you ?,kamu ingin aku ikut denganmu ?
3897,3897,do you want to drink some tea ?,kamu mau minum teh ?
3898,3898,don t come so early next time .,lain kali jangan datang terlalu awal .
3899,3899,don t tell me you re quitting .,jangan katakan kalau kau berhenti .
3915,3915,he is no better than a beggar .,dia tidak lebih baik daripada seorang pengemis .
3916,3916,he is the image of his father .,dia adalah gambaran dari ayahnya .
3917,3917,he is too drunk to drive home .,ia terlalu mabuk untuk berkemudi menuju rumah .
3923,3923,he s attracted to black women .,dia tertarik pada wanita berkulit hitam .
3924,3924,he s not cut out for teaching .,dia tidak cocok untuk mengajar .
3976,3976,i m about the same age as you .,aku hampir seusia denganmu .
3977,3977,i m afraid tom might get hurt .,saya khawatir tom akan terluka .
3978,3978,i m afraid it s going to rain .,aku takut sebentar lagi akan turun hujan .
3979,3979,i m coming over to your place .,aku mampir ke tempatmu .
3980,3980,i m extremely grateful to you .,saya benar benar sangat berterima kasih
3981,3981,i m going to europe next week .,aku akan pergi ke eropa minggu depan .
3982,3982,i m going to go get some food .,aku pergi untuk membeli makanan .
3983,3983,i m taking an exam in january .,aku mengikuti ujian pada januari .
3984,3984,i m tired of eating fast food .,aku sudah bosan memakan makanan siap saji .
3992,3992,it s exactly as you say it is .,tepat seperti apa yang anda katakan .
3993,3993,it s exactly as you say it is .,tepat seperti yang kau katakan .
4015,4015,she saw him eating a sandwich .,dia melihatnya memakan roti lapis .
4016,4016,she s really smart isn t she ?,dia benar benar pintar ya ?
4054,4054,tom is almost always cheerful .,tom hampir selalu bahagia .
4055,4055,tom is an electrical engineer .,tom adalah seorang sarjana arus kuat .
4056,4056,tom is disagreeable isn t he ?,tom merasa terganggu bukan ?
4057,4057,tom is playing the violin now .,tom sedang bermain violin sekarang .
4058,4058,tom is taller than his mother .,tom lebih tinggi daripada ibunya .
4059,4059,tom is very worried about you .,tom sangat mengkhawatirkan kamu .
4060,4060,tom isn t quite himself today .,tom tidak seperti dirinya hari ini .
4075,4075,tom said he ll call you later .,tom berkata dia akan menghubungi kamu kembali .
4076,4076,tom saw mary break the window .,tom melihat mary memecahkan kaca jendela .
4077,4077,tom should be back any second .,tom seharusnya sudah kembali sekarang .
4078,4078,tom sometimes comes home late .,tom kadang kadang telat pulang ke rumah .
4080,4080,tom s methods were unorthodox .,metode metode milik tom tidak lazim .
4096,4096,what s germany s largest lake ?,apa danau terbesar di jerman ?
4097,4097,where is the railroad station ?,stasiun kereta ada di mana ?
4098,4098,where is the railroad station ?,ada di mana stasiun kereta apinya ?
4099,4099,where is the railroad station ?,stasiun kereta apinya di mana ?
4113,4113,you re cuter than your sister .,kamu lebih manis ketimbang adikmu .
4119,4119,are you going to school by bus ?,apa kau pergi ke sekolah dengan bus ?
4126,4126,do you have a facebook account ?,apa kamu punya akun facebook ?
4127,4127,do you have a driver s license ?,apa kau memiliki sim ?
4128,4128,do you like playing volleyball ?,apa kau suka bermain voli ?
4129,4129,do you want any of these books ?,apa kamu menginginkan buku buku ini ?
4130,4130,do you want something to drink ?,apa kamu mau minum sesuatu ?
4131,4131,don t make fun of other people .,jangan mempermainkan orang lain .
4149,4149,he is often absent from school .,dia sering absen dari sekolah .
4154,4154,he s in the hospital right now .,dia sedang di rumah sakit sekarang .
4161,4161,i am ashamed of having done so .,saya malu telah melakukan hal tersebut .
4162,4162,i am busy now and can t go out .,saya sedang sibuk dan tidak bisa pergi .
4163,4163,i am pleased with my new house .,saya merasa senang dengan rumah baru saya .
4164,4164,i am positive that he is wrong .,aku yakin bahwa dia salah .
4203,4203,i m glad i could be of service .,saya senang bisa membantu .
4204,4204,i m here to help you actually .,aku di sini untuk membantumu sebenarnya .
4212,4212,it stopped snowing an hour ago .,saljunya berhenti turun sejam yang lalu .
4233,4233,she s a beauty from a distance .,dia cantik dari jauh .
4251,4251,they are not at all interested .,mereka tidak tertarik sama sekali .
4268,4268,tom is years older than mary .,tom tiga tahun lebih tua dari mary .
4269,4269,tom is on good terms with john .,tom berteman baik dengan john .
4281,4281,tom set the alarm on his watch .,tom mengatur pengingat pada jamnya .
4282,4282,tom started clearing the table .,tom mulai membersihkan meja .
4291,4291,tom s skull has been fractured .,tempurung kepala tom retak .
4292,4292,tom s speech quieted the crowd .,pidato tom membuat hadirin terdiam .
4297,4297,we are working for world peace .,kami bekerja demi perdamaian dunia .
4306,4306,we re here to support you tom .,kami di sini untuk mendukungmu tom .
4307,4307,we re in the same group right ?,kita dalam grup yang sama kan ?
4327,4327,you are no longer a mere child .,kamu bukan lagi seorang anak kecil .
4346,4346,are you absolutely sure of that ?,apa kau benar benar yakin dengan hal itu ?
4358,4358,do you commute to school by bus ?,apa kau pulang pergi ke sekolah dengan bus ?
