Run!	Lari!
I'm going to kill you.	Aku akan membunuhmu.
I'm here as a tourist.	Aku di sini sebagai seorang turis.
I'm playing a TV game.	Aku memainkan sebuah permainan di televisi.
I'm still not certain.	Aku masih belum yakin.
I've been to the bank.	Aku baru saja pergi ke bank.
Is everything OK here?	Apakah semuanya oke di sini?
Is that clock working?	Apakah jam itu bekerja?
Is there a difference?	Apakah ada perbedaan?
Is there life on Mars?	Apakah ada kehidupan di Mars?
Is this a coincidence?	Apakah ini sebuah kebetulan?
Is your home far away?	Apakah rumahmu jauh?
Is your watch correct?	Apakah jam Anda waktunya tepat?
It can be frustrating.	Hal ini bisa membuatmu frustrasi.
It is under the chair.	Itu ada di bawah kursi.
It seemed to be cheap.	Sepertinya itu murah.
It seems well written.	Ini kelihatan ditulis dengan rapi.
It will probably rain.	Kemungkinan hujan akan turun.
It's really happening.	Itu benar-benar terjadi.
Keep your hands clean.	Jaga tanganmu tetap bersih.
Let me drive you home.	Biarkan aku mengantarmu pulang.
Let's do it ourselves.	Mari kita lakukan sendiri.
Let's do it right now.	Mari kita lakukan sekarang juga.
Let's get back inside.	Ayo masuk kedalam kembali.
Let's give it a whirl.	Mari kita mencobanya.
Let's go to the beach.	Mari kita pergi ke pantai.
Let's have a go at it.	Mari kita mencobanya.
Like father, like son.	Seperti ayah, seperti anak.
Like father, like son.	Anak laki-laki mirip dengan ayahnya.
Mary is a lovely girl.	Mary adalah gadis yang menawan.
Mary is a pretty girl.	Mary adalah gadis yang cantik.
My brother swims well.	Adikku berenang dengan baik.
My brother swims well.	Kakakku berenang dengan baik.
My life was in danger.	Hidupku dalam bahaya.
My right hand is numb.	Tangan kananku mati rasa.
My shoes are worn out.	Sepatuku sudah usang.
No one knew who I was.	Tidak ada yang tahu siapa dulunya aku.
Nobody understands me.	Tidak ada yang mengerti aku.
Not all birds can fly.	Tidak semua burung bisa terbang.
Please close the door.	Tolong tutup pintunya.
Please go to the bank.	Tolong pergilah ke bank.
Please take your seat.	Silakan duduk.
Please tell the truth.	Tolong katakan yang sebenarnya.
Please tell the truth.	Tolong katakan kebenarannya.
Read it again, please.	Tolong bacakan sekali lagi.
She's eight years old.	Dia delapan tahun.
Show me your passport.	Tunjukkan paspor Anda.
Shut the door, please.	Tolong tutup pintunya.
Sit wherever you like.	Duduklah di manapun yang kau sukai.
So you give up, right?	Jadi kamu menyerah, benar?
Stop worrying so much.	Jangan terlalu khawatir.
Take care of yourself.	Jaga dirimu sendiri.
Tell me what you want.	Katakan padaku apa yang kau inginkan.
Tests start next week.	Ujian akan mulai minggu depan.
That isn't my problem.	Itu bukan masalahku.
That should be enough.	Itu cukup.
That's awesome, right?	Itu mengagumkan sekali, bukan?
That's not my concern.	Itu bukan urusanku.
That's not my problem.	Itu bukan masalahku.
That's not surprising.	Itu bukanlah hal yang mengejutkan.
The Milky Way is huge.	Bima Sakti besar.
The faucet is leaking.	Kerannya bocor.
The money disappeared.	Uang telah menghilang.
The radio is too loud.	Suara radionya terlalu keras.
The sun is going down.	Mataharinya mulai terbenam.
These are my children.	Mereka ini adalah anak-anakku.
They're eating apples.	Mereka sedang memakan apel.
This heater burns gas.	Pemanas ini berbahan bakar gas.
This is a Chinese fan.	Ini adalah kipas Tiongkok.
This is not expensive.	Ini tidak mahal.
This isn't my problem.	Ini bukan masalahku.
This makes me curious.	Ini membuatku penasaran.
This should be washed.	ini harus dicuci.
Tom and Mary are done.	Tom dan Mary putus.
Tom appeared confused.	Tom terlihat kebingungan.
Tom can't play tennis.	Tom tidak bisa bermain tenis.
Tom clapped his hands.	Tom bertepuk tangan.
Tom closed the drawer.	Tom menutup lacinya.
Tom continued talking.	Tom lanjut berbicara.
Tom did as I told him.	Tom melakukan apa yang aku katakan.
Tom doesn't like beef.	Tom tidak suka daging sapi.
Tom has a pretty wife.	Tom mempunyai istri yang cantik.
Tom has a stomachache.	Tom sakit perut.
Tom has been expelled.	Tom telah dikeluarkan.
Tom has been poisoned.	Tom telah diracuni.
Tom has to be stopped.	Tom harus dihentikan.
Tom is always bananas.	Tom selalu konyol.
Tom is always healthy.	Tom selalu sehat.
Tom is bigger than me.	Tom lebih besar ketimbang aku.
Tom is reading a book.	Tom sedang membaca buku.
Tom is taller than me.	Tom lebih tinggi daripada aku.
Tom isn't the traitor.	Tom bukanlah penghianat.
Tom looks dumbfounded.	Tom tampak tercengang.
Tom misses his family.	Tom merindukan keluarganya.
Tom refused to let go.	Tom menolak untuk melepas.
Tom spoke up for Mary.	Tom berbicara untuk Mary.
Tom studies very hard.	Tom sangat tekun belajar.
Tom was quite helpful.	Tom sudah cukup membantu.
Tom wouldn't sit down.	Tom tidak akan duduk.
Watch your mouth, Tom.	Jaga mulutmu, Tom.
We're on our way home.	Kami sedang berada dalam perjalanan pulang.
We're still searching.	Kami masih mencari.
What a waste of money!	Buang-buang duit aja!
What are you drinking?	Kamu minum apa?
What can I do for you?	Apa yang bisa aku lakukan untuk kamu?
What do you guys have?	Kalian punya apa?
What grade are you in?	Kamu kelas berapa?
What if Tom finds out?	Bagaimana kalau Tom mengetahuinya?
What made you do this?	Apa yang membuatmu melakukan ini?
What makes you so sad?	Apa yang membuatmu begitu sedih?
What time did you eat?	Kamu makan jam berapa?
What's in your pocket?	Apa yang ada di dalam kantongmu?
What's wrong with you?	Apa yang salah denganmu ?
What's wrong with you?	Ada apa denganmu?
What's your last name?	Siapa nama belakangmu?
What's your specialty?	Jurusanmu apa?
When did Tom buy that?	Kapan Tom membeli itu?
When is your birthday?	Kapan ulang tahunmu?
When is your birthday?	Kapan anda berulang tahun?
When will you be back?	Kapan kamu akan kembali?
Where are you heading?	Kamu mau menuju ke mana?
Where are you heading?	Anda akan menuju ke mana?
Where are you staying?	Di mana Anda menginap?
Where are your things?	Ada dimana barang-barangmu?
Where is my newspaper?	Di mana koranku?
Where is the bus stop?	Di mana tempat pemberhentian busnya?
Where's Tom moving to?	Tom pindah ke mana?
Where's the newspaper?	Korannya mana?
Who am I talking with?	Dengan siapa saya bicara?
Who is that gentleman?	Siapakah pria itu?
Whose bicycle is this?	Sepeda siapa ini?
Why do they come here?	Kenapa mereka datang kemari?
Why was this a secret?	Mengapa ini rahasia?
Would you care to try?	Anda ingin mencoba?
Would you like to eat?	Apa kau mau makan?
You can't be a doctor.	Kamu tidak bisa menjadi seorang dokter.
You deserve the prize.	Kau layak mendapatkan hadiah itu.
You must do your duty.	Kau harus melaksanakan tugasmu.
You shouldn't move it.	Kau seharusnya tidak memindahkannya.
You'd better hurry up.	Sebaiknya kamu cepat-cepat.
You'd better sit here.	Sebaiknya kau duduk di sini.
You'll never be alone.	Kamu tak akan pernah sendirian.
You're older than Tom.	Kamu lebih tua daripada Tom.
Your hair is too long.	Rambutmu terlalu panjang.
Your shoes are untied.	Sepatumu belum terikat.
A promise is a promise.	Janji adalah janji.
Are you coming with me?	Apa kamu mau ikut?
Are you speaking to me?	Apa kau bicara padaku?
Business has been good.	Bisnis selalu dalam keadaan baik.
Can I pick my own desk?	Bolehkah saya memilih tempat duduk saya sendiri?
Can you play the piano?	Bisakah kau bermain piano?
Cats don't eat bananas.	Kucing tidak makan pisang.
Close the door, please.	Tolong tutup pintunya.
Did you watch the game?	Apa kamu melihat pertandingan itu?
Do one thing at a time.	Kerjakan satu hal dalam satu waktu.
Do you have any coffee?	Apa kau punya kopi?
Do you know the reason?	Apa kau tahu alasannya?
Do you like my T-shirt?	Apakah kamu menyukai kaus oblong saya?
Do you study every day?	Apa kamu belajar setiap hari?
Don't be a wet blanket.	Jangan suka mengganggu kesenangan orang lain.
Don't underestimate me.	Jangan meremehkanku.
Good morning, everyone.	Selamat pagi, semuanya.
Have you seen anything?	Kamu melihat sesuatu?
He delivers newspapers.	Dia mengantar koran.
He has a bright future.	Dia punya masa depan yang cerah.
He has bad handwriting.	Dia memiliki tulisan tangan yang buruk.
He is blind in one eye.	Sebelah matanya buta.
He isn't able to do it.	Dia tidak mampu melakukannya.
He may have told a lie.	Dia bisa saja berbohong.
He was going to school.	Dia baru akan berangkat menuju ke sekolah.
He won't come, will he?	Dia tidak akan datang, kan?
He's going to sit here.	Dia akan duduk di sini.
How long was Tom there?	Sudah berapa lama Tom di sana?
How much is this watch?	Berapa harga jam tangan ini?
I am ashamed of myself.	Aku malu pada diriku sendiri.
I am to meet him there.	Saya akan bertemu dengannya di sana.
I can't read your mind.	Aku tidak bisa membaca pikiranmu.
I cried all night long.	Aku menangis semalam suntuk.
I don't agree with him.	Aku tidak setuju dengan dia.
I don't agree with you.	Aku tidak setuju denganmu.
I don't get you at all.	Aku benar-benar tidak memahamimu.
I don't have a bicycle.	Saya tidak punya sepeda.
I don't like it at all.	Aku tidak menyukainya sama sekali.
I don't need your help.	Aku tidak butuh bantuanmu.
I don't regret a thing.	Aku tidak menyesali apapun.
I don't want any sugar.	Saya tidak mau gula.
I felt the house shake.	Aku merasakan rumahnya berguncang.
I had to get back home.	Aku harus pulang.
I have a bad toothache.	Aku menderita sakit gigi yang parah.
I have missed my train.	Aku ketinggalan keretaku.
I have only just begun.	Aku baru saja mulai.
I have to find Tom now.	Aku harus menemukan Tom sekarang.
I have to get up early.	Aku harus bangun pagi-pagi.
I hope he can help you.	Saya harap dia bisa membantuku.
I hope to see you soon.	Aku harap aku bisa segera bertemu denganmu lagi.
I knew he would accept.	Aku tahu dia akan setuju.
I know Tom is innocent.	Aku tahu Tom tidak bersalah.
I like pizza very much.	Aku sangat suka dengan piza.
I mean what I'm saying.	Aku serius dengan apa yang kukatakan.
I saw her wash the car.	Saya melihatnya mencuci mobil.
I saw it in a magazine.	Aku melihatnya pada sebuah majalah.
I think he is a doctor.	Aku pikir dia adalah seorang dokter.
I think you should sit.	Aku pikir kau harus duduk.
I told Tom a few jokes.	Aku memberitahu Tom beberapa lelucon.
I want to win for once.	Saya ingin menang barang sekali.
I was a little nervous.	Aku agak gugup.
I was away for a while.	Tadi saya pergi sebentar.
I was in the mountains.	Aku di gunung.
I was raised in Boston.	Aku dibesarkan di Boston.
I wasn't aware of that.	Aku tidak menyadari hal itu.
I wholeheartedly agree.	Saya sepenuhnya setuju.
I will gladly help you.	Saya dengan senang hati akan membantu anda.
I will not do it again.	Aku tidak akan melakukannya lagi.
I wish I were in Paris.	Andaikan saya ada di Paris
I would love to see it.	Saya ingin melihatnya.
I'd like to rent a car.	Aku ingin menyewa sebuah mobil.
I'd rather go swimming.	Aku lebih memilih pergi berenang.
I'll be going with you.	Aku akan pergi denganmu.
I'll be going with you.	Aku akan ikut denganmu.
I'll go no matter what.	Aku akan pergi apapun yang terjadi.
I'm a realistic person.	Aku adalah orang yang realistis.
I'm anxious to see you.	Aku ingin sekali bertemu denganmu.
I'm dying to see Paris.	Aku sangat ingin melihat Paris.
I'm going to need help.	Aku akan membutuhkan bantuan.
I'm happy I could help.	Saya senang bisa membantu.
I'm happy to hear that.	Saya senang mendengar hal itu.
I'm not kidding around.	Aku tidak sedang bercanda.
I'm not messing around.	Aku tidak sedang membuang-buang waktu.
I'm thinking about you.	Aku memikirkan tentang dirimu.
I've caught a bad cold.	Aku terkena flu berat.
Is it a recent picture?	Apakah ini gambar yang tadi?
It doesn't look so bad.	itu tidak terlalu terlihat buruk
It might rain tomorrow.	Hujan mungkin akan turun besok.
It rained hard all day.	Hujan deras turun selama sehari penuh.
It was quite fantastic.	Itu cukup luar biasa.
It's entirely my fault.	Seluruhnya adalah kesalahanku.
It's for you to decide.	Itu terserah padamu.
It's like one of those.	Ini seperti satu dari barang-barang itu.
It's like one of those.	Ini seperti satu dari mereka.
It's too noisy in here.	Di sini terlalu berisik.
Just follow your heart.	Ikutilah kata hatimu.
Let us finish our work.	Mari kita selesaikan pekerjaan kita.
Let's make this simple.	Mari kita menyederhanakannya.
My house faces the sea.	Rumahku menghadap laut.
New York is a big city.	New York adalah sebuah kota yang besar.
Please add up the bill.	Tolong jumlahkan total tagihannya.
Please don't cry again.	Tolong, jangan menangis lagi.
Please open the window.	Tolong buka jendelanya.
Please pay the cashier.	Silakan membayar di kasir.
Put on your good shoes.	Pakailah sepatu yang paling bagus.
Save me some ice cream.	Sisakan aku es krimnya.
See you in the morning.	Sampai jumpa besok pagi.
She crossed the street.	Dia menyeberang jalan.
She had a healthy baby.	Dia punya bayi yang sehat.
She is habitually late.	Dia kebiasaan datang terlambat.
She loves her children.	Dia mencintai anak-anaknya.
She shaved her armpits.	Dia mencukur bulu ketiaknya.
Should I buy something?	Apakah saya harus membelikannya barang?
Smoking is bad for you.	Merokok tidak baik untuk Anda.
So what do you suggest?	Jadi apa yang kau sarankan?
Stop playing with that.	Berhenti memainkan itu.
Stop worrying about me.	Berhentilah mengkhawatirkanku.
Thank you ever so much.	Terima kasih banyak.
Thanks for helping Tom.	Terima kasih telah membantu Tom.
That sound is annoying.	Suara itu sangat mengganggu.
That's pretty annoying.	Itu sangat menjengkelkan.
That's very easy to do.	Itu sangat mudah dilakukan.
The door wasn't closed.	Pintunya tidak tertutup.
The hunter shot a bear.	Pemburu tersebut menembak seekor beruang.
The negotiation is off.	Negosiasinya dibatalkan.
The pig is growing fat.	Babi itu bertambah gemuk.
The rain lasted a week.	Hujannya bertahan selama seminggu.
The rules have changed.	Aturan-aturanya sudah berubah.
The smell was horrible.	Baunya sangat tidak enak.
The smell was terrible.	Baunya sangat tidak enak.
The train came on time.	Keretanya datang tepat waktu.
The train flipped over.	Kereta tersebut terguling.
The wind has died down.	Tiupan anginnya semakin pelan.
The wine was excellent.	Minuman anggur itu rasanya luar biasa.
There's no class today.	Tidak ada kelas hari ini.
They didn't believe me.	Mereka tidak percaya padaku.
They have just arrived.	Mereka baru saja sampai.
They live in our block.	Mereka tinggal di blok kami.
They went to the beach.	Mereka pergi ke pantai.
This is an ancient law.	Ini adalah sebuah hukum kuno.
This is not a sentence.	Ini bukan kalimat.
This is not my problem.	Ini bukan masalah saya.
This is the last straw!	Ini yang terakhir!
This is the last straw.	Ini yang terakhir.
This is very confusing.	Ini sangat membingungkan.
This room is very warm.	Ruangan ini sangat hangat.
This work is half-done.	Pekerjaan ini sudah setengah selesai.
Today is extremely hot.	Hari ini sangat panas.
Today's Tom's birthday.	Hari ini ulang tahun Tom.
Tom continued speaking.	Tom lanjut berbicara.
Tom continued to speak.	Tom lanjut berbicara.
Tom could replace Mary.	Tom bisa menggantikan Mary.
Tom crossed the street.	Tom menyeberangi jalan itu.
Tom doesn't have a car.	Tom tidak punya mobil.
Tom dreamed about Mary.	Tom memimpikan Mary
Tom explained it to me.	Tom menjelaskannya padaku.
Tom flushed the toilet.	Tom menyiram toilet.
Tom got out of his car.	Tom keluar dari mobilnya.
Tom got out of the car.	Tom keluar dari mobil.
Tom had a very bad day.	Tom menghadapi hari yang sangat buruk.
Tom is a buddy of mine.	Tom adalah seorang kawanku.
Tom is a good employee.	Tom adalah pegawai yang baik.
Tom is afraid of dying.	Tom takut mati.
Tom is alone with Mary.	Tom sedang berduaan dengan Mary.
Tom is beating up Mary.	Tom memukuli Mary.
Tom is getting jealous.	Tom mulai cemburu.
Tom is good at cooking.	Tom pandai dalam hal memasak.
Tom is looking for you.	Tom sedang mencarimu.
Tom looks just like me.	Tom tampak seperti diriku.
Tom really misses Mary.	Tom sungguh merindukan Mary.
Tom says he's innocent.	Tom berkata dia tidak bersalah.
Tom set down his spoon.	Tom meletakkan sendoknya.
Tom should just resign.	Tom sebaiknya mengundurkan diri.
Tom stayed for a while.	Tom tinggal selama beberapa waktu.
Tom wants to kill Mary.	Tom ingin membunuh Mary.
Tom was a little drunk.	Tom sedikit mabuk.
Tom was very surprised.	Tom sangat terkejut.
We all have our faults.	Kita semua pasti punya kesalahan.
We danced to the music.	Kami menari mengikuti alunan musik.
We must obey the rules.	Kita harus mematuhi peraturan.
We plan to stay a week.	Kami berencana untuk tinggal selama seminggu.
We want you to take it.	Kami ingin kau membawanya.
We waste a lot of time.	Kita banyak membuang waktu.
We're all very excited.	Kami semua sangat bersemangat.
We're lucky, aren't we?	Kita beruntung, kan?
We're lucky, aren't we?	Kami beruntung, kan?
We've been cooperative.	Kami selalu kooperatif.
We've been helping Tom.	Kami selalu membantu Tom.
We've done what we can.	Kami telah melakukan yang kami bisa.
What do you want to do?	Apa yang ingin kau lakukan?
What does your aunt do?	Bibimu sedang melakukan apa?
What fun would that be?	Memang apa bagusnya itu?
What is your name, sir?	Siapa nama anda, pak ?
What is your specialty?	Jurusanmu apa?
What made you so angry?	Apa yang membuatmu begitu marah?
What time can you come?	Pada pukul berapa Anda bisa datang?
What time does it open?	Bukanya pada pukul berapa?
What's your major, Tom?	Apa jurusanmu, Tom?
What's your occupation?	Apa pekerjaanmu?
What's your speciality?	Jurusanmu apa?
When did you finish it?	Kapan kamu menyelesaikannya?
When do you want to go?	Kamu ingin pergi kapan?
Where did you try them?	Di mana kamu mencobanya?
Where do you come from?	Dari mana asalmu?
Where is the newspaper?	Korannya mana?
Where've you guys been?	Ke mana saja kalian?
Which way is the beach?	Pantainya ada di sebelah mana?
Who did you give it to?	Kepada siapa kamu memberikannya?
Whose is that notebook?	Buku catatan itu punya siapa?
Whose notebook is that?	Buku catatan itu punya siapa?
Whose umbrella is this?	Ini payung milik siapa?
Why do you need change?	Kenapa kamu membutuhkan uang kembalian?
Why should this happen?	Mengapa ini harus terjadi?
Will you come tomorrow?	Apakah kau akan datang besok?
Will you open the door?	Boleh tolong buka pintunya?
Would you like to come?	Apakah Anda akan datang?
You are my best friend.	Kau adalah sahabat karibku.
You could have done it.	Kau harusnya bisa melakukannya.
You had plenty of time.	Kau punya banyak waktu.
You have to be patient.	Kau harus bersabar.
You just can't give up.	Kamu tidak boleh menyerah.
You may close the door.	Kamu boleh menutup pintunya.
You may use my new car.	Kau boleh menggunakan mobil baruku.
You must go to bed now.	Kau harus pergi tidur sekarang.
You seem to like fruit.	Sepertinya Anda suka dengan buah-buahan.
You should know better.	Kamu harusnya tahu.
You should stay in bed.	Kau harus tetap beristirahat.
You should've told Tom.	Harusnya kamu memberi tahu Tom.
You were at my wedding.	Kamu ada pada acara pernikahanku.
You were late for work.	Kau terlambat untuk bekerja.
You'd better go by bus.	Lebih baik kau pergi dengan bus.
You're perfectly right.	Kau memang benar.
You're very courageous.	Kamu berani sekali.
Your cake is delicious.	Kuemu enak.
Your plan sounds great.	Rencanamu kedengarannya bagus.
Are you attracted to me?	Apa kau tertarik padaku?
Are you sure about that?	Apa kau yakin dengan hal itu?
Are you sure about this?	Apa kau yakin dengan hal ini?
At least I wasn't alone.	Paling tidak aku tidak seorang diri.
Can I borrow your radio?	Bisa aku pinjam radiomu?
Can I see the wine list?	Bisakah aku melihat daftar minuman anggurnya?
Can I see your passport?	Dapatkah saya melihat paspor anda?
Can we go to the circus?	Bisakah kita pergi ke sirkus?
Can you eat raw oysters?	Apa kau bisa memakan tiram mentah?
Can you get it repaired?	Bisakah kau memperbaikinya?
Can you read this kanji?	Dapatkah kau membaca kanji ini?
Can't you speak English?	Bisakah kau menggunakan bahasa Inggris?
Did Tom know what to do?	Apa Tom tahu apa yang harus ia lakukan?
Did you come here alone?	Apa kau datang kemari sendirian?
Did your wish come true?	Apakah harapanmu terkabul?
Didn't you see anything?	Kamu tidak melihat apa-apa?
Do I look like an idiot?	Apakah aku terlihat seperti seorang idiot?
Do they have a computer?	Apakah mereka punya komputer?
Do you feel like eating?	Apa kau mau makan?
Do you really mean that?	Apa kau serius mengatakannya?
Do you still read books?	Apa kau masih membaca buku-buku?
Do you want some coffee?	Ingin minum kopi?
Do you want to use mine?	Apa kamu mau pinjam punyaku?
Don't go out after dark.	Jangan pergi keluar setelah hari menjadi gelap.
Don't make a fool of me.	Jangan mempermainkanku.
Don't play in this room.	Jangan bermain di kamar ini.
Don't read in this room.	Jangan membaca di kamar ini.
Everyone makes mistakes.	Semua orang pernah melakukan kesalahan.
Everything's dirt-cheap.	Semuanya sangat murah.
Everything's very cheap.	Semuanya sangat murah.
Father is angry with me.	Ayahku marah padaku.
Get me an extra blanket.	Carikan aku selimut lagi.
Give us a ride downtown.	Tolong antarkan kami sampai ke pusat kota.
Good morning, everybody.	Selamat pagi, semuanya.
Have you been to London?	Kau pernah pergi ke London?
Have you been to London?	Kau pernah ke London?
Have you met her before?	Apakah kau pernah bertemu dengannya sebelumnya?
Have you seen something?	Kamu melihat sesuatu?
He asked for more money.	Dia meminta lebih banyak uang.
He gets mad very easily.	Dia sangat mudah marah.
He's my younger brother.	Dia adikku.
He's my younger brother.	Dia adik laki-lakiku.
Here's my email address.	Ini alamat e-mailku.
How about taking a rest?	Mau istirahat?
How can I know for sure?	Bagaimana caranya agar aku bisa mengetahuinya secara pasti?
How did this effect you?	Bagaimana efeknya untukmu?
How did you get injured?	Bagaimana kamu bisa terluka?
How do you do that, Tom?	Bagaimana kamu melakukannya, Tom?
How long do horses live?	Berapa lama kuda hidup?
I always walk to school.	Aku selalu berjalan ke sekolah.
I am disgusted with you.	Aku sudah muak denganmu.
I am not good at sports.	Aku tidak jago dalam hal olahraga.
I can't give up smoking.	Aku tidak bisa berhenti merokok.
I couldn't convince Tom.	Aku tidak bisa membujuk Tom.
I couldn't get to sleep.	Aku tidak bisa tidur.
I don't like it, either.	Aku juga tidak menyukainya.
I don't want it anymore.	Aku sudah tidak menginginkannya.
I don't work for anyone.	Aku tidak bekerja untuk siapapun.
I had no one to turn to.	Tidak ada seorang pun yang bisa kutemui.
I have no money with me.	Aku tidak membawa uang.
I have so much to learn.	Ada banyak hal yang harus aku pelajari.
I have to know for sure.	Aku harus tahu dengan pasti.
I have to take medicine.	Aku harus minum obat.
I haven't seen anything.	Aku belum lihat apapun.
I heard someone whistle.	Aku mendengar seseorang bersiul.
I hope it stops raining.	Aku harap hujannya berhenti.
I hope that I can do it.	Aku harap aku bisa melakukannya.
I hope to hear from you.	Kami ingin mendengarnya dari Anda.
I know Tom isn't guilty.	Aku tahu Tom tidak salah.
I know what I'm feeling.	Aku tahu apa yang sedang aku rasakan.
I know why Tom resigned.	Aku tahu kenapa Tom mengundurkan diri.
I like my job very much.	Aku sangat menyukai pekerjaanku.
I lived there for years.	Aku bertahun-tahun tinggal di sana.
I met him on the street.	Aku bertemu dengannya di jalan.
I must go to the toilet.	Aku harus pergi ke toilet.
I must go to the toilet.	Saya harus pergi ke toilet.
I need more information.	Aku butuh informasi lagi.
I need some good advice.	Aku membutuhkan sedikit saran.
I need some information.	Aku butuh beberapa informasi.
I need to know for sure.	Aku perlu tahu secara pasti.
I play volleyball often.	Saya sering bermain voli.
I really need your help.	Aku sangat membutuhkan bantuanmu.
I should read that book.	Aku harus membaca buku itu.
I suppose you're hungry.	Kamu sepertinya lapar.
I think Tom is loveable.	Saya pikir Tom mudah disukai.
I think Tom is sensible.	Aku pikir Tom adalah orang yang bijaksana.
I think Tom should stay.	Aku pikir Tom harus tetap tinggal.
I tried doing just that.	Saya telah mencoba melakukan hal tersebut.
I usually get up at six.	Biasanya saya bangun pada pukul enam.
I want him in my office.	Saya ingin dia ada di kantorku.
I want more information.	Aku ingin lebih banyak informasi.
I want to be an actress.	Saya ingin menjadi aktris.
I want to do everything.	Saya ingin melakukan segalanya.
I want to go to a hotel.	Aku ingin pergi ke sebuah hotel.
I want to look like her.	Aku ingin kamu berpenampilan seperti dia.
I want to sing the song.	Aku ingin menyanyikan lagu itu.
I was just about to eat.	Saya sudah hampir mau makan.
I will make some coffee.	Aku akan membuat kopi.
I wish I wasn't married.	Saya harap saya belum menikah
I'll be better tomorrow.	Aku akan baik-baik saja besok.
I'll come to your place.	Aku akan pergi ke tempatmu.
I'll give you something.	Aku akan memberikanmu sesuatu.
I'll lend you this book.	Aku akan meminjamkanmu buku ini.
I'm glad you enjoyed it.	Saya senang Anda menikmatinya.
I'm pleased to meet you.	Senang bertemu denganmu.
I'm so glad you're back.	Aku sangat senang kau kembali.
I'm sorry to be so late.	Maaf aku sudah terlambat cukup lama.
I'm still the boss here.	Aku masih bosnya di sini.
I've done nothing wrong.	Aku tidak melakukan kesalahan apapun.
I've never seen the sea.	Saya belum pernah melihat laut.
I've tried that already.	Aku sudah mencobanya.
Is everything all right?	Apa semuanya baik-baik saja?
Is this water drinkable?	Apa air ini bisa diminum?
It didn't mean anything.	Itu tidak berarti apa-apa.
It was a stupid mistake.	Itu kesalahan yang bodoh.
It's entirely up to you.	Itu sepenuhnya terserah padamu.
It's going to rain soon.	Sebentar lagi hujan akan turun.
It's very noisy in here.	Di sini sangat berisik.
Keep an eye on the bags.	Awasilah tas-tas itu.
Let me get you a brandy.	Akan kubawakan sebotol brendi untukmu.
Listen to who's talking.	Dengarkanlah orang yang sedang berbicara.
Lovely sunset, isn't it?	Senja yang indah, ya?
Mary can speak Japanese.	Mary bisa Bahasa Jepang.
May I borrow your knife?	Bolehkah aku meminjam pisaumu?
May I borrow your radio?	Boleh aku pinjam radiomu?
May I hang up your coat?	Boleh kugantungkan jasmu?
May I see the wine list?	Boleh saya lihat daftar minuman anggurnya?
May I see your passport?	Boleh saya melihat paspor Anda?
May I take your picture?	Bolehkah aku mengambil gambarmu?
May I use your car, Dad?	Bolehkah Saya menggunakan mobilmu, yah?
My brother is a teacher.	Saudaraku adalah seorang guru.
My brother is very tall.	Adik saya badannya sangat tinggi.
My brother is very tall.	Kakak saya badannya sangat tinggi.
My camera is waterproof.	Kameraku tahan air.
My health has been good.	Badanku selalu dalam keadaan sehat.
No stitches were needed.	Tidak perlu dijahit.
Now give me what I want.	Sekarang berikan aku apa yang aku mau.
Paper is made from wood.	Kertas terbuat dari kayu.
Please answer in French.	Tolong jawab dalam bahasa Prancis.
Please call me a doctor.	Kamu tidak boleh memberitahukannya pada siapapun.
Please call me a doctor.	Tolong panggilkan dokter.
Please have a seat here.	Silakan duduk di sini.
Please lend me your car.	Tolong pinjamkan aku mobilmu.
Please say hello to her.	Tolong sampaikan salamku kepadanya.
Push the button, please.	Tolong tekan tombolnya.
She is very intelligent.	Dia sangat pintar.
She took care of my dog.	Dia merawat anjing saya.
She's not young, is she?	Dia tidak muda ya.
Show me what you bought.	Tunjukkan padaku apa yang kamu beli.
So, what do you suggest?	Jadi, apa yang Anda sarankan?
Sorry, I made a mistake.	Maaf, aku membuat sebuah kesalahan.
Stay away from the door.	Menjauhlah dari pintu.
Tell me about your plan.	Beritahu aku tentang rencanamu.
That's the right answer.	Itulah jawaban yang benar.
That's what I told them.	Itulah yang aku katakan pada mereka.
That's what I was doing.	Itulah yang sedang saya lakukan tadi.
The TV was on all night.	Televisi menyala sepanjang malam.
The bus hasn't come yet.	Bisnya belum datang.
The desk drawer is open.	Laci mejanya terbuka.
The odds are two to one.	Peluangnya adalah dua dibanding satu.
The proverb is familiar.	Pepatah itu terdengar familiar.
The sky is getting dark.	Langitnya semakin gelap.
The snake shed its skin.	Ularnya berganti kulit.
The train has just left.	Keretanya baru saja berangkat.
The world changes a lot.	Dunia telah banyak berubah.
There's plenty of water.	Ada banyak air.
These flowers have died.	Bunga-bunga ini sudah mati.
They said they're happy.	Mereka berkata bahwa mereka bahagia.
They used to love jokes.	Dulu mereka suka bercanda.
They're all watching TV.	Mereka semua menonton TV.
This account is correct.	Akun ini benar.
This is a movie for men.	Ini adalah film untuk laki-laki.
This paragraph is vague.	Kalimat ini tidak jelas.
Today is Tom's birthday.	Hari ini ulang tahun Tom.
Tom began to understand.	Tom mulai mengerti.
Tom can't run very fast.	Tom tidak bisa lari dengan sangat cepat.
Tom cut himself shaving.	Tom terluka ketika sedang bercukur.
Tom didn't try to argue.	Tom tidak mencoba untuk membantah.
Tom doesn't like cheese.	Tom tidak suka keju.
Tom dug up the potatoes.	Tom memanen kentang-kentangnya.
Tom fell into the water.	Tom jatuh ke dalam air.
